2,1,25,1
2,1,3,1
2,1,9,1
3,1,6,1
1,1,5,1
2,1,13,1
4,1,7,1
4,1,19,1
1,1,2,1
2,1,8,1
3,1,17,1
3,1,23,1
2,1,26,1
4,1,31,1
2,1,37,1
2,1,71,1
3,1,1,1
2,1,24,1
2,1,59,1
4,1,14,1
3,1,33,1
3,1,90,1
2,1,132,1
4,1,83,1
4,1,69,1
2,1,29,1
3,1,99,1
3,1,49,1
3,1,50,1
2,1,92,1
2,1,102,1
4,1,76,1
2,1,20,1
3,1,63,1
3,1,34,1
5,1,72,1
5,1,62,1
5,1,238,1
4,1,11,1
4,1,2034,2
6,3,6649,2
8,2,2832,2
4,1,2434,2
5,1,580,2
5,2,604,2
7,3,3159,2
3,1,2922,2
5,2,8193,2
5,2,2965,2
4,1,5485,2
5,1,2978,2
4,1,1474,2
4,1,1264,2
7,2,1196,2
7,2,13141,2
8,3,10382,2
6,2,600,2
3,1,1272,2
5,1,18712,2
4,1,2304,2
6,2,3125,2
6,3,5182,2
6,1,1844,2
5,1,584,2
4,1,1338,2
6,2,6591,2
4,1,3658,2
5,2,2032,2
6,2,5805,2
7,2,1563,2
4,1,5851,2
4,1,1432,2
7,2,14866,2
3,1,2236,2
5,2,5510,2
9,3,1951,2
4,1,3653,2
5,1,8710,2
14,5,30355,3
10,5,5018,3
8,4,6319,3
9,2,4701,3
7,2,9411,3
8,3,15936,3
4,1,2499,3
8,3,20341,3
8,3,4508,3
8,3,4597,3
11,4,8810,3
10,3,22433,3
7,2,18619,3
9,2,5869,3
8,4,3116,3
10,5,8819,3
7,3,35807,3
9,3,16934,3
5,2,3968,3
10,4,18653,3
7,2,11677,3
8,3,6400,3
5,2,6316,3
12,5,12832,3
10,4,32008,3
9,4,4631,3
8,4,10177,3
12,4,11673,3
8,2,1445,3
7,2,40735,3
7,2,28548,3
4,1,32402,3
11,4,16852,3
7,2,5045,3
11,5,13540,3
7,2,11245,3
5,2,6627,3
9,3,6435,3
6,2,3311,3
11,5,9727,3
10,4,37928,3
8,3,35197,4
8,3,8315,4
8,2,2148,4
9,3,33144,4
13,6,30747,4
8,3,26178,4
6,2,10794,4
10,4,17998,4
11,4,40580,4
10,3,34470,4
13,5,5886,4
6,2,18210,4
8,4,18885,4
9,3,35854,4
9,3,20534,4
7,2,2280,4
6,2,10937,4
9,3,2894,4
7,2,9842,4
12,2,7887,4
10,4,26997,4
9,3,13547,4
8,3,11343,4
11,4,7975,4
12,5,6617,4
11,4,3211,4
9,4,14276,4
6,2,5290,4
10,2,20301,4
10,3,3757,4
6,2,8058,4
10,4,10714,4
10,3,14302,4
9,3,30323,4
11,3,10303,4
13,5,7700,4
11,4,33540,4
8,2,8924,4
9,5,5358,4
7,2,3184,4
14,5,27481,4
6,3,38310,5
4,1,27926,5
7,1,38068,5
6,2,9657,5
9,4,35599,5
10,3,38029,5
8,3,22747,5
8,2,40718,5
9,3,20015,5
7,3,24940,5
6,2,31730,5
6,2,37805,5
9,3,35353,5
9,3,22661,5
9,4,40428,5
7,3,33313,5
7,2,30006,5
9,4,40000,5
11,4,27608,5
10,4,27607,5
9,4,28720,5
8,3,33057,5
16,6,39981,5
9,4,19036,5
6,2,22512,5
9,2,39694,5
11,4,21331,5
10,4,29824,5
8,3,24676,5
7,2,19855,5
7,3,27475,5
6,3,23123,5
9,4,18968,5
7,2,29705,5
6,2,27423,5
6,3,24618,5
7,3,16788,5
6,3,20262,5
6,2,36755,5
11,4,39336,5
5,2,23798,5
